ïagno;rbd;dgv_rbd;nom_rbd;let_rbd;num_rbd;cod_com_rbd;nom_com_rbd;cod_depe;rural_rbd;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09
2004;7352;0;"ESCUELA SOCIEDAD DE SOCORRO DE SEÃORAS""""";F;569;10301;OSORNO;2;0;10;110;;;;;;;
2004;7353;9;"ESCUELA DIFERENCIAL ANA AICHELE CARRASC""";F;1162;10301;OSORNO;2;0;211;212;;;;;;;
2004;7354;7;"ESCUELA RURAL LUZ Y SABER""""";F;403;10301;OSORNO;2;1;10;110;;;;;;;
2004;7355;5;"ESCUELA RURAL EMILIO SURBER SCHULZ""""";F;433;10301;OSORNO;2;1;10;110;;;;;;;
2004;7356;3;"ESCUELA RURAL PELLECO""""";G;369;10301;OSORNO;2;1;110;;;;;;;;
2004;7357;1;"ESCUELA RURAL PUCOIHUE""""";G;370;10301;OSORNO;2;1;110;;;;;;;;
2004;7359;8;"ESCUELA RURAL TRINQUICAHUIN""""";G;373;10301;OSORNO;2;1;110;;;;;;;;
2004;7360;1;"ESCUELA RURAL EL LABRADOR""""";G;375;10301;OSORNO;2;1;110;;;;;;;;
2004;7362;8;"ESCUELA RURAL PILAUCO""""";G;387;10301;OSORNO;2;1;110;;;;;;;;
2004;7363;6;"ESCUELA RURAL SANTA FE""""";G;388;10301;OSORNO;2;1;110;;;;;;;;
2004;7364;4;"ESCUELA RURAL EUSEBIO LILLO""""";G;393;10301;OSORNO;2;1;110;;;;;;;;
2004;7365;2;"ESCUELA RURAL RICARDO FOLLERT MOLINA""""";G;394;10301;OSORNO;2;1;110;;;;;;;;
2004;7366;0;"ESCUELA RURAL MARIA LUISA BOMBAL""""";G;395;10301;OSORNO;2;1;110;;;;;;;;
2004;7367;9;"ESCUELA RURAL TACAMO BAJO""""";G;396;10301;OSORNO;2;1;110;;;;;;;;
2004;7368;7;"ESCUELA RURAL SANTA ROSA""""";G;400;10301;OSORNO;2;1;110;;;;;;;;
2004;7369;5;"ESCUELA RURAL PICHIL""""";G;406;10301;OSORNO;2;1;10;110;;;;;;;
2004;7370;9;"ESCUELA RURAL DOLLINCO""""";G;407;10301;OSORNO;2;1;110;;;;;;;;
2004;7371;7;"ESCUELA RURAL FORRAHUE""""";G;408;10301;OSORNO;2;1;110;;;;;;;;
2004;7372;5;"ESCUELA RURAL CANCHA LARGA""""";G;409;10301;OSORNO;2;1;110;;;;;;;;
2004;7373;3;"ESCUELA RURAL JOAQUIN PRIETO""""";G;410;10301;OSORNO;2;1;110;;;;;;;;
2004;7374;1;"ESCUELA RURAL JUAN AMADOR BARRIENTOS""""";G;411;10301;OSORNO;2;1;110;;;;;;;;
2004;7376;8;"ESCUELA RURAL CUQUIMO""""";G;412;10301;OSORNO;2;1;110;;;;;;;;
2004;7377;6;"ESCUELA RURAL WALTERIO MEYER RUSCA""""";G;415;10301;OSORNO;2;1;10;110;;;;;;;
2004;7379;2;"ESCUELA RURAL CURACO""""";G;423;10301;OSORNO;2;1;110;;;;;;;;
2004;7380;6;"ESCUELA RURAL LUMACO""""";G;426;10301;OSORNO;2;1;110;;;;;;;;
2004;7381;4;"ESCUELA RURAL CHACAYAL""""";G;428;10301;OSORNO;2;1;110;;;;;;;;
2004;7382;2;"ESCUELA RURAL LOS ABEDULES""""";G;430;10301;OSORNO;2;1;110;;;;;;;;
